Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur
2,17,6,6/03/2020,Friday,WTB,Gre._,male,a10037,Within Treatment,Tall,,715.016,1.65452,0,1.84,437.2,1.68,439.04
2,17,7,6/03/2020,Friday,WTB,Whi.Pin,female,a10154,Within Treatment,Tall,,1306.72,4.46649,64.32,86.72,242.16,0.24,393.2
2,17,8,6/03/2020,Friday,WTB,Gre.Bro,male,a10044,Within Treatment,Tall,,1765.99,8.01558,233.6,66.8,58.88,0.16,359.28
1,18,1,6/03/2020,Friday,WTB,Blu.Ora,female,a10059,Within Treatment,Tall,,674.097,1.57411,0,0,439.36,26.96,439.36
1,18,2,6/03/2020,Friday,WTB,_.Yel,male,a10096,Within Treatment,Tall,,3732.17,8.4961,209.92,154.96,75.2,0.08,440.08
1,18,3,6/03/2020,Friday,WTB,Pur.Red,female,a10076,Within Treatment,Tall,,2084.37,5.87875,84.72,102.4,239.04,3.68,426.16
1,18,4,6/03/2020,Friday,WTB,_.Blu,female,a10040,Within Treatment,Tall,,2661.91,6.07742,31.52,117.84,290.72,0,440.08
2,18,5,6/03/2020,Friday,PA,Pin.Red,female,a9958,Paternal,Tall,,1592.57,5.11358,59.36,74.88,286.72,0.08,420.96
2,18,6,6/03/2020,Friday,PA,Bla.Red,female,a9921,Paternal,Tall,,2343.35,9.05749,78.56,67.12,258.4,0.24,404.08
2,18,7,6/03/2020,Friday,PA,Blu.Bla,male,a9984,Paternal,Tall,,2171.91,8.24943,120.32,85.52,198.8,0.32,404.64
2,18,8,6/03/2020,Friday,PA,Bla.Pin,male,a9919,Paternal,Tall,,1433.31,7.69272,247.76,51.68,54.64,0.32,354.08
1,19,1,6/03/2020,Friday,PA,Bla.Gre,female,a9922,Paternal,Tall,,2466.06,6.98679,118.56,63.92,244.48,0.16,426.96
1,19,2,6/03/2020,Friday,PA,Ora.Pin,female,a9961,Paternal,Tall,,2683.46,6.13559,75.12,72,292.96,0.08,440.08
1,19,3,6/03/2020,Friday,PA,Gre.Pin,male,a9880,Paternal,Tall,,2681.64,6.10128,36.56,71.6,331.92,1.6,440.08
1,19,4,6/03/2020,Friday,PA,_.Bro,female,a9917,Paternal,Tall,,2236.29,5.08617,47.28,64.64,328.16,0.48,440.08
2,19,5,6/03/2020,Friday,PA,Whi.Bro,female,a9929,Paternal,Tall,,643.952,4.54511,57.76,41.04,179.44,0.08,278.24
2,19,6,6/03/2020,Friday,PA,Pin.Yel,male,a9956,Paternal,Tall,,2475.73,5.7351,36.96,81.36,321.44,0.48,439.76
2,19,7,6/03/2020,Friday,PA,Ora.Ora,female,a9962,Paternal,Tall,,1308.37,6.927,122.08,81.52,156.96,0.32,360.56
2,19,8,6/03/2020,Friday,PA,Bla.Ora,female,a9887,Paternal,Tall,,1322.84,4.33322,50.72,104.24,248,0.32,402.96
1,20,1,6/03/2020,Friday,PA,Gre.Blu,male,a9881,Paternal,Tall,,1992.7,4.52886,59.84,62.32,317.92,0.72,440.08
1,20,2,6/03/2020,Friday,PA,_.Gre,male,a9873,Paternal,Tall,,2799.47,6.36243,96.56,105.28,238.24,0.24,440.08
1,20,3,6/03/2020,Friday,PA,Whi.Red,male,a9931,Paternal,Tall,,165.264,0.3756,0,0,440.08,154,440.08
1,20,4,6/03/2020,Friday,PA,Gre.Ora,female,a9876,Paternal,Tall,,3356.31,7.63076,132.56,119.68,187.84,0,440.08
2,20,5,6/03/2020,Friday,PA,Gre.Gre,female,a9874,Paternal,Tall,,1098.65,6.35497,96.72,64.24,174.4,0,335.36
2,20,6,6/03/2020,Friday,PA,Whi.Whi,male,a9926,Paternal,Tall,,1550.96,3.63326,58.08,38.48,342.08,103.6,438.64
2,20,7,6/03/2020,Friday,PA,Pin.Pur,female,a9957,Paternal,Tall,,1650.01,6.54559,230.56,66.56,87.68,0,384.8
2,20,8,6/03/2020,Friday,PA,Pin.Blu,male,a9960,Paternal,Tall,,1459.8,5.00206,48.72,57.36,293.68,5.76,399.76
